2010/07/30;15:21:17	00081.5	0000.00	0000.07	0000.00	0000.00	0000.00	000.000	0000.00	0000.00	0000.00
2010/07/30;15:21:32	00081.5	0000.00	0000.09	0000.00	-000.04	0000.95	-00.048	0001.83	0001.45	0000.00
2010/07/30;15:22:04	00081.5	0000.00	0000.07	0000.03	-000.07	0001.93	-00.093	0003.65	0002.88	0000.00
2010/07/30;15:22:26	00081.5	0000.00	0000.06	0000.08	-000.10	0002.91	-00.139	0005.47	0004.33	0000.00
2010/07/30;15:22:40	00081.5	0000.00	0000.06	0000.05	-000.09	0003.90	-00.159	0007.45	0005.73	0000.00
2010/07/30;15:23:04	00081.5	0000.00	0000.07	0000.17	-000.11	0004.89	-00.235	0009.27	0007.17	0000.00
2010/07/30;15:23:25	00081.5	0000.00	0000.07	-000.05	0000.03	0000.05	000.061	0000.15	0000.02	0000.00
